"Methedology:
1. Open IDB website
2. Click on 'Projects'
3. Scroll down and click on 'Download Project Information (.xlsx)'
4. Apply following filters: 
            - Sector: AGRICULTURE AND RURAL DEVELOPMENT 
            - Approval date: 01/01/2015-12/31/2025
5. Click three buttons > Export data ",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Keywords Found in Unnamed: 1,Keywords Found in Unnamed: 2,Keywords Found in Unnamed: 4,Keywords Found in Unnamed: 8,Keywords Found in Unnamed: 16,Keywords Found in Unnamed: 20,Keywords Found in Unnamed: 22,Keywords Found (Any Column)
PE-T1532,Promotion of Territorial Development in the Mariscal Ramón Castilla Border Province,"The objective of this technical cooperation is to elevate the levels of competitiveness of the fishery value chain in the province of Ramón Castilla, through the consolidation of associative structures, thus reinforcing their integration into the dynamics of regional sustainable development and border integration. This will be achieved through the management of sustainable production and marketing models of Amazonian fish species and their derivatives, that address the challenges inherent to formal and legal production in risk contexts. This TC will contribute to revitalizing the local economy and, consequently, improve the quality of life of the families of fishery producers on the border of the province Ramón Castilla.",Sovereign Guaranteed,Technical Cooperation,4/10/24,10/2/24,AGRICULTURE AND RURAL DEVELOPMENT,SUSTAINABLE AGRICULTURAL DEVELOPMENT,Peru,ACTIVE,,1695842,ATN/PC-20757-PE,,USD,ICP-Development Fund for the Colombia–Peru B,400000,103389.09,"Thursday, December 19, 2024",Not Defined,Yes,CORPORACION ANALPES PERU SAC,,,,[],['value chain'],[],[],[],[],[],['value chain']
RG-T4319,Enhancing the transition towards sustainable agriculture in Central America,"To support the development of policies, regulations and incentives that promote the transition toward sustainable agriculture in Central America, through (i) the generation of robust knowledge that supports science-based policy making; (ii) the development of pilot green and inclusive financial products for the agricultural sector; and (iii) the development of institutional awareness and capacities on green agricultural commodities and new trade environmental requirements, as well as traceability and monitoring instruments.",Sovereign Guaranteed,Technical Cooperation,4/12/24,4/12/24,AGRICULTURE AND RURAL DEVELOPMENT,SUSTAINABLE AGRICULTURAL DEVELOPMENT,Belize; Costa Rica; El Salvador; Honduras; Panama; Regional,ACTIVE,,2900000,ATN/NL-20714-RG,,USD,NCL-France-IDB Natural Capital Lab Fund,2900000,52318.83,"Friday, May 30, 2025",Not Defined,Yes,INTER-AMERICAN DEVELOPMENT BANK,,,,[],['policy'],[],[],[],[],[],['policy']
PN-T1342,Strengthening of the agricultural sector of Panama (II),"The general objective is to contribute to the economic, social and environmental sustainability of the Panamanian agriculture. The specific objectives are to (i) achieve timely execution of PIASI (PN-L1166), through technical assistance and training to the Executing Agencies; (ii) deepen knowledge of the Panamanian agricultural sector, through specific studies, to facilitate informed decision taking, within the framework of the implementation of both PIASI and the new State Agri-Food Policy (PADE, for its acronym in Spanish); and (iii) improve the training for future professional integration of agricultural baccalaureate graduates.",Sovereign Guaranteed,Technical Cooperation,5/10/24,5/10/24,AGRICULTURE AND RURAL DEVELOPMENT,SUSTAINABLE AGRICULTURAL DEVELOPMENT,Panama,ACTIVE,,450000,ATN/OC-20779-PN,,USD,ORC-Ordinary Capital,450000,120017.23,"Wednesday, July 16, 2025",Not Defined,Yes,INTER-AMERICAN DEVELOPMENT BANK,,,,[],['policy'],[],[],[],[],[],['policy']
DR-T1283,"Promoting a climate smart, inclusive and competitive sector","Support for dialogue on agricultural sector policies and identify possible support for the modernization of the agricultural sector in the Dominican Republic. This request is part of a coordinated effort with the World Bank for the establishment of an exhaustive agricultural sector review (Dominican Republic Agriculture Sector Review – Promoting a climate-smart, inclusive and competitive sector), to be carried out jointly and under the leadership of the Vice Ministry of Planning of the Ministry of Economy, Planning and Development.",Sovereign Guaranteed,Technical Cooperation,5/28/24,5/28/24,AGRICULTURE AND RURAL DEVELOPMENT,AGRICULTURAL POLICY,Dominican Republic,ACTIVE,,250000,ATN/OC-20801-DR,,USD,ORC-Ordinary Capital,250000,93695.06,"Wednesday, July 02, 2025",Not Defined,Yes,INTER-AMERICAN DEVELOPMENT BANK,,,,[],[],[],['policy'],[],[],[],['policy']
UR-T1313,Support for the strengthening of Uruguay’s Agricultural Public Services,The general objective of this technical cooperation is to support the strengthening of public agricultural services in Uruguay. The specific objectives are: (i) prepare technical studies that serve as input for the National Irrigation Strategy; (ii) analyze institutional and operational aspects of the National Agricultural Research Institute (INIA) that will lead to a proposal to improve the services provided; and (iii) formulate studies that serve as inputs to: a) modernize the agricultural institutional settings and the provision of public agricultural services in the country.,Sovereign Guaranteed,Technical Cooperation,5/30/24,5/30/24,AGRICULTURE AND RURAL DEVELOPMENT,AGRICULTURAL POLICY,Uruguay,ACTIVE,,300000,ATN/OC-20812-UR,,USD,ORC-Ordinary Capital,300000,76724.52,"Wednesday, July 02, 2025",Not Defined,Yes,INTER-AMERICAN DEVELOPMENT BANK,,,,[],[],[],['policy'],[],[],[],['policy']
RG-Q0136,Every Drop Matters – Using Technology to Promote an Efficient and Sustainable Use of Water in Agriculture,"Support Kilimo, an agtech early stage company based in Argentina and regional operations, to expand their AI-based solution that provides irrigation recommendations by using satellite and weather based data in order to improve water efficiency and crop yields for farmers.",Non-Sovereign Guaranteed,Equity,6/3/24,6/12/24,AGRICULTURE AND RURAL DEVELOPMENT,SUSTAINABLE AGRICULTURAL DEVELOPMENT,Argentina; Brazil; Chile; Mexico; Paraguay; Peru; Regional; Uruguay,ACTIVE,,1,EQU/MS-20835-RG,,USD,MSF-MIF-Small Enterprise Investment Fund,353834,353833.33,"Wednesday, June 12, 2024",KILIMO S.A,No,KILIMO S.A,,,,[],[],[],[],[],[],[],[]
BR-L1617,Sustainable Development Project for Bahia's Atlantic Forest,"The general objective of the project is to improve the income, food and nutritional security, access to basic services and adaptation to Climate Change (CC) of the rural population and protect the natural resource base of the region. The specific objectives are: (i) increase the adoption of agricultural technologies, with emphasis on technologies for adaptation to CC, prioritizing women, youth and Traditional Peoples and Communities (PCT); (ii) improve the integration of producers into value chains, prioritizing women, youth and PCT; (iii) improve environmental conditions for rural families and their environment; and (iv) improve access to drinking water and basic sanitation in rural communities.",Sovereign Guaranteed,Loan Operation,6/21/24,12/26/24,AGRICULTURE AND RURAL DEVELOPMENT,SUSTAINABLE AGRICULTURAL DEVELOPMENT,Brazil,ACTIVE,B,168000000,5891/OC-BR,GOM,USD,ORC-Ordinary Capital,100000000,6000000,"Wednesday, June 11, 2025",ESTADO DA BAHIA,Yes,SECRETARIA DE DESENVOLVIMENTO RURAL DA BAHIA,5.536161,2048-02-15,281.7,[],[],[],[],[],[],[],[]
RG-T4467,Climate Action: Community-driven Transformation in Central America,"The main project objective is to finance proven climate change adaptation or mitigation solutions through grants to local communities, by adapting and expanding ChangeX's model to Guatemala, Honduras, El Salvador, Costa Rica,and Panama. The project will also incorporate a gender and diversity inclusion lens and would prioritize initiatives implemented in regions with a majority of economically vulnerable populations.",Non-Sovereign Guaranteed,Technical Cooperation,7/15/24,8/27/24,AGRICULTURE AND RURAL DEVELOPMENT,AGRICULTURAL TECHNOLOGY ADOPTION,Costa Rica; El Salvador; Guatemala; Honduras; Panama; Regional,ACTIVE,,1650000,ATN/ME-20909-RG,,USD,MSE-Multilateral Investment Fund II (MIF) -,500000,228512.28,"Wednesday, June 11, 2025",Not Defined,Yes,CHANGEX UNITED STATES INC,,,,[],[],[],[],[],[],[],[]
RG-T4501,Support for the preparation of the Central American Sustainable Agrolandscapes Program,"Contribute to the design of the Central American Sustainable Agrolandscapes Program, through (i) analytical work (ii) engagement workshops with representatives of the Central American Agricultural Council (CAC) and the Central American Commission for Environment and Development (CCAD), and their respective Secretariats.",Sovereign Guaranteed,Technical Cooperation,7/26/24,7/26/24,AGRICULTURE AND RURAL DEVELOPMENT,SUSTAINABLE AGRICULTURAL DEVELOPMENT,Belize; Costa Rica; Dominican Republic; El Salvador; Guatemala; Honduras; Nicaragua; Panama; Regional,ACTIVE,,500000,ATN/OC-20968-RG,,USD,ORC-Ordinary Capital,500000,145463.28,"Wednesday, July 09, 2025",Not Defined,Yes,INTER-AMERICAN DEVELOPMENT BANK,,,,[],[],[],[],[],[],[],[]
RG-T4539,Flagship study of agricultural productivity growth in Latin America and the Caribbean,"Support the Bank's borrowing member countries in improving their knowledge on agricultural productivity growth by providing knowledge products as key inputs to the IDB's flagship study focused on understanding the drivers and dynamics of agricultural productivity growth in the region, and subsequently promoting the dissemination of the main knowledge products generated, to be used in technical dialogue and the design of public policies.",Sovereign Guaranteed,Technical Cooperation,7/26/24,7/26/24,AGRICULTURE AND RURAL DEVELOPMENT,AGRICULTURAL POLICY,Argentina; Bahamas; Barbados; Belize; Bolivia; Brazil; Chile; Colombia; Costa Rica; Dominican Republic; Ecuador; El Salvador; Guatemala; Guyana; Haiti; Headquarters; Honduras; Jamaica; Mexico; Nicaragua; Panama; Paraguay; Peru; Regional; Suriname; Trinidad and Tobago; Uruguay; Venezuela,ACTIVE,,350000,ATN/OC-20971-RG,,USD,ORC-Ordinary Capital,350000,138261.63,"Friday, July 11, 2025",Not Defined,Yes,INTER-AMERICAN DEVELOPMENT BANK,,,,['productivity'],['productivity'],[],['policy'],[],[],[],"['policy', 'productivity']"
RG-T4500,Agri-environmental policy tools in the Southern Cone,"The general objective of the TC is to contribute to improve the environmental sustainability of the agricultural sector in Southern Cone countries. The specific objectives are: (i) to help strengthen the measurement of environmental performance in agriculture, including adaptation to and mitigation of climate change; (ii) to support the assessment and design of agricultural public policies and investments aimed at enhancing the management of key agro-environmental issues in the Southern Cone.",Sovereign Guaranteed,Technical Cooperation,8/8/24,8/8/24,AGRICULTURE AND RURAL DEVELOPMENT,AGRICULTURAL POLICY,Argentina; Brazil; Chile; Paraguay; Regional; Uruguay,ACTIVE,,350000,ATN/OC-21011-RG,,USD,ORC-Ordinary Capital,350000,69908.86,"Monday, July 14, 2025",Not Defined,Yes,INTER-AMERICAN DEVELOPMENT BANK,,,,['policy'],[],[],['policy'],[],[],[],['policy']
CO-G1038,Implementation of Sustainable Agroforestry Systems for Cocoa Plantations,"Strengthen sustainable agricultural production systems for cocoa farms, which will reduce pressure on the expansion of the agricultural frontier and, in turn, generate income for small producers. The specific objectives of the project are: (i) to improve the cacao production model by introducing agroforestry systems in cacao plantations located in five departments of the country (Caquetá, Meta, Santander, Arauca, and Boyacá); and (ii) to provide agricultural extension services aimed at enhancing productivity, environmental sustainability, closing gender gaps, and strengthening the value chain to access differentiated markets that will improve the income of small producers.",Sovereign Guaranteed,Investment Grants,8/14/24,11/18/24,AGRICULTURE AND RURAL DEVELOPMENT,SUSTAINABLE AGRICULTURAL DEVELOPMENT,Colombia,ACTIVE,C,1281790,GRT/CM-21027-CO,,USD,COL-Sustainable Colombia Facility,1250000,0,"Wednesday, August 14, 2024",Not Defined,No,ASOCIACION NACIONAL CACAOTERA DE COLOMBIA,,,,[],"['extension services', 'productivity', 'value chain']",[],[],[],[],[],"['extension services', 'productivity', 'value chain']"
RG-T4542,Multifunctional bioprotectants for postharvest fruits,Improving the safety and nutritional quality of postharvest grape and strawberry fruits through the formulation and application of multifunctional bioprotectants (BMs).,Sovereign Guaranteed,Technical Cooperation,8/14/24,10/1/24,AGRICULTURE AND RURAL DEVELOPMENT,SUSTAINABLE AGRICULTURAL DEVELOPMENT,Chile; Colombia; Ecuador; Headquarters; Regional,ACTIVE,C,600000,ATN/RF-21044-RG,,USD,RFA-Regional Agricultural Fund,200000,80322,"Thursday, March 27, 2025",Not Defined,No,UNIVERSIDAD TECNICA DEL NORTE,,,,[],[],[],[],[],[],[],[]
RG-T4543,Strengthening the competitiveness of mango producers in Colombia and Peru through the integral use of the fruit and the development of new products,To establish strategies for the integral use of mango fruit in order to strengthen the competitiveness of producers in Colombia and Peru.,Sovereign Guaranteed,Technical Cooperation,8/14/24,9/18/24,AGRICULTURE AND RURAL DEVELOPMENT,SUSTAINABLE AGRICULTURAL DEVELOPMENT,Colombia; Headquarters; Peru; Regional,ACTIVE,C,600000,ATN/RF-21037-RG,,USD,RFA-Regional Agricultural Fund,200000,39745,"Friday, February 28, 2025",Not Defined,No,UNIVERSIDAD DEL TOLIMA,,,,[],[],[],[],[],[],[],[]
RG-T4544,Sustainable tropical dairy systems to contribute to food security in Colombia and Ecuador,Increase the productivity of dairy systems in Cauca-Colombia and Manabí-Ecuador by implementing climate-smart production strategies to contribute to food security in the regions.,Sovereign Guaranteed,Technical Cooperation,8/14/24,10/14/24,AGRICULTURE AND RURAL DEVELOPMENT,SUSTAINABLE AGRICULTURAL DEVELOPMENT,Colombia; Ecuador; Headquarters; Regional,ACTIVE,C,600424,ATN/RF-21038-RG,,USD,RFA-Regional Agricultural Fund,200000,79690,"Friday, April 11, 2025",Not Defined,Yes,IICA INTER-AMERICAN INSTITUTE FOR C OOPERATION ON AGRICULTURE,,,,['dairy'],"['dairy', 'productivity']",[],[],[],[],[],"['dairy', 'productivity']"
RG-G1066,SIRIO: Platform for business competitiveness and climate resilience of agroforestry crop growers,"The objective of the project is to increase the efficiency and competitiveness of the coffee, cocoa and honey business in Mexico, Guatemala and Honduras, as well as climate change mitigation and adaptation to its effects on production, thanks to the digitization of agricultural, commercial and environmental processes of small producer groups with the support to the development and deployment of the Sirio tool.",Non-Sovereign Guaranteed,Investment Grants,8/28/24,11/11/24,AGRICULTURE AND RURAL DEVELOPMENT,AGRIBUSINESS,Guatemala; Honduras; Mexico; Regional,ACTIVE,,960000,GRC/SX-21070-RG,,USD,SCX-Strategic Climate Fund,500000,100768.38,"Monday, May 12, 2025",SIRIO SOLUCIONES DIGITALES SAPI DE CV,No,SIRIO SOLUCIONES DIGITALES SAPI DE CV,,,,[],[],[],[],[],[],[],[]
SU-T1180,Reigniting Empowerment of Tribal Women in Suriname through Engagement in Transformative Technology,The objective of the project is to support indigenous and tribal communities in the interior of Suriname in protecting standing forests by optimizing agricultural land use in safe areas and transitioning from traditional and climate-sensitive farming models to sustainable and climate smart farming models and techniques.,Non-Sovereign Guaranteed,Technical Cooperation,8/30/24,10/21/24,AGRICULTURE AND RURAL DEVELOPMENT,SUSTAINABLE AGRICULTURAL DEVELOPMENT,Suriname,ACTIVE,,500000,ATN/AZ-21079-SU,,USD,AMZ-Amazon Bioeconomy and Forest Management,500000,154400,"Tuesday, February 25, 2025",Not Defined,Yes,WIUMAFUSRANAN,,,,[],['farming'],[],[],[],[],[],['farming']
PE-L1270,"Project to Improve the Innovation, Technology Transfer, and Agricultural Technology Extension Services Network in the INIA's Six Agricultural Experimental Stations","The general objective of the program is to improve productivity levels in Peru's agricultural sector, considering environmental sustainability and climate resilience. The specific objectives are: (i) strengthen lines of research to diversify the technological solutions generated by the INIA; and (ii) improve the quality of INIA's Technology Transfer (TT) processes with a focus on Family Agriculture (FA), promote the accreditation of extension agents, and improve the coverage of the agricultural extension service.",Sovereign Guaranteed,Loan Operation,9/4/24,1/9/25,AGRICULTURE AND RURAL DEVELOPMENT,AGRICULTURAL RESEARCH AND INNOVATION,Peru,ACTIVE,B,107919519,5916/OC-PE,ESP,USD,ORC-Ordinary Capital,85000000,0,"Wednesday, September 04, 2024",REPUBLICA DEL PERU,No,MINISTERIO DE AGRICULTURA Y RIEGO,,,,['extension services'],['productivity'],[],[],[],[],[],"['extension services', 'productivity']"
HO-L1255,Energy Decarbonization and Climate Resilience for the Coffee Value Chain in Honduras,"The objective of the proposed operation is to improve the productivity and competitiveness of small coffee producer members of the CAPUCAS Coffee Cooperative (CAPUCAS) by providing financing solutions that help them: (i) adopt innovative climate change mitigation and adaptation practices in agroforestry coffee production models (restoration of degraded land, decarbonization and energy efficiency, and infrastructure); and (ii) with pre- and post-harvest activities.",Non-Sovereign Guaranteed,Loan Operation,9/20/24,11/7/24,AGRICULTURE AND RURAL DEVELOPMENT,SUSTAINABLE AGRICULTURAL DEVELOPMENT,Honduras,EXITED,,2000000,SP/OC-24-73-HO,,USD,ORC-Ordinary Capital,2000000,2000000,"Friday, May 23, 2025",COOPERATIVA CAFETALERA CAPUCAS LIMITADA,No,COOPERATIVA CAFETALERA CAPUCAS LIMITADA,7,2030-10-15,72.3,['value chain'],"['cooperative', 'productivity']",[],[],[],[],[],"['cooperative', 'productivity', 'value chain']"
PE-T1591,Cultivating Prosperity: Harnessing AI for Resilient Farming Communities,"The project's objective is to improve the productivity of Peruvian smallholders and promote the adoption of climate-smart practices through an innovative soil analysis solution, piloting a sustainable and scalable business model.",Non-Sovereign Guaranteed,Technical Cooperation,9/23/24,10/13/24,AGRICULTURE AND RURAL DEVELOPMENT,AGRICULTURAL RESEARCH AND INNOVATION,Peru,ACTIVE,,1064300,ATN/JF-21128-PE,,USD,JSF-Japan Special Fund,800000,408260,"Thursday, July 03, 2025",Not Defined,Yes,PRODUCERS DIRECT,,,,['farming'],['productivity'],[],[],[],[],[],"['farming', 'productivity']"
RG-T4538,AgroWeb3: Verifiable Credentials for Smallholder Farmers,Develop the ecosystem of verifiable digital credentials in four countries in Latin America and the Caribbean for their use in managing the economic and environmental asset portfolios of smallholder farmers (AgroWeb3).,Non-Sovereign Guaranteed,Technical Cooperation,10/11/24,11/22/24,AGRICULTURE AND RURAL DEVELOPMENT,AGRICULTURAL TECHNOLOGY ADOPTION,Headquarters; Peru; Regional,ACTIVE,,3000000,ATN/OC-21177-RG,,USD,ORC-Ordinary Capital,1500000,375000,"Tuesday, June 17, 2025",Not Defined,Yes,FUNDACION JULIO RICALDONI,,,,['smallholder'],['smallholder'],[],[],[],[],[],['smallholder']
BL-T1169,Support of REDD+ Strategy,The general objective is to support the development and implementation of the REDD+ Strategy. The specific objectives of the TC are: (i) support Belize in completing pending activities in its Strategy REDD+ to access climate financing; and (ii) to improve the management of the agroforestry landscape.,Sovereign Guaranteed,Technical Cooperation,10/15/24,10/15/24,AGRICULTURE AND RURAL DEVELOPMENT,SUSTAINABLE AGRICULTURAL DEVELOPMENT,Belize,ACTIVE,,400000,ATN/AG-21174-BL,,USD,MAG-AgroLAC 2025 Multidonor Trust Fund,400000,10382.84,"Tuesday, July 15, 2025",Not Defined,Yes,INTER-AMERICAN DEVELOPMENT BANK,,,,[],[],[],[],[],[],[],[]
EC-T1559,"Knowledge exchange between Ecuador and Uruguay on programs to promote research, innovation and governance with the private sector in the agricultural sector","The purpose of the technical visit is to learn about the best practices of the National Institute of Agricultural Research of Uruguay (NIAR) and other similar institutions in governance and the involvement of the private sector and academia as strategic partners in decision-making for research, development, and innovation (R&D&I) policy in the agricultural sector.",Sovereign Guaranteed,Technical Cooperation,10/15/24,10/15/24,AGRICULTURE AND RURAL DEVELOPMENT,AGRICULTURAL RESEARCH AND INNOVATION,Ecuador,EXITED,,16625,ATN/OC-21178-EC,,USD,ORC-Ordinary Capital,16625,16625,"Tuesday, October 22, 2024",Not Defined,Yes,INTER-AMERICAN DEVELOPMENT BANK,,,,[],['policy'],[],[],[],[],[],['policy']
CR-G1012,Carbon Positive: Transforming Agricultural Value Chains into Carbon Sinks,"The main objective of the project is to deploy innovative technologies to convert agricultural waste into valuable resources while eliminating waste management issues at production centers. This in turn will support small farmers and agribusinesses while, reducing GHG emissions.",Non-Sovereign Guaranteed,Investment Grants,10/17/24,11/6/24,AGRICULTURE AND RURAL DEVELOPMENT,SUSTAINABLE AGRICULTURAL DEVELOPMENT,Costa Rica,ACTIVE,,2115780,GRC/ME-21185-CR,,USD,MSE-Multilateral Investment Fund II (MIF) -,850000,600000,"Thursday, March 06, 2025",POAS BIOENERGY INC,No,POAS BIOENERGY INC,,,,[],"['GHG emissions', 'waste management']",[],[],[],[],[],"['GHG emissions', 'waste management']"
VE-T1113,Promotion and support of the Bioeconomy in the Venezuelan Amazon,"The general objective of this technical cooperation is to promote nature-based productive activity to contribute to the economic development of indigenous peoples, protecting their cultural identity and the environmental integrity of the Venezuelan Amazon. The specific objectives are: a) train indigenous leaders in Amazonian bioeconomy using an alternative pedagogy based on their own traditional knowledge; b) promote the development of indigenous bioeconomy productive initiatives; and, c) create, scale and consolidate a learning community on the subject.",Sovereign Guaranteed,Technical Cooperation,10/23/24,10/23/24,AGRICULTURE AND RURAL DEVELOPMENT,AGRICULTURAL HEALTH AND FOOD SAFETY,Venezuela,EXITED,,200000,ATN/OC-21194-VE,,USD,ORC-Ordinary Capital,200000,0,"Wednesday, October 23, 2024",Not Defined,Yes,INTER-AMERICAN DEVELOPMENT BANK,,,,[],[],[],[],[],[],[],[]
AR-G1010,Nat4BIO: Post-harvest Waste Reduction in Food Chains through Nature-based Solutions,"The general objective of the project is to reduce post-harvest waste of fresh fruit in Argentina and to make the fruit and vegetable sector more profitable and sustainable, while at the same time improving the quality of life of the sector's seasonal workers",Non-Sovereign Guaranteed,Investment Grants,10/24/24,10/31/24,AGRICULTURE AND RURAL DEVELOPMENT,SUSTAINABLE AGRICULTURAL DEVELOPMENT,Argentina,ACTIVE,,1992600,GRC/ME-21198-AR,,USD,MSE-Multilateral Investment Fund II (MIF) -,700000,160000,"Tuesday, January 21, 2025",NAT 4 BIO SAU,Yes,NAT 4 BIO SAU,,,,[],[],[],[],[],[],[],[]
AR-T1389,Nat4BIO: Reducing Post-Harvest Waste in Food Chains through Nature-Based Solutions,"The general objective of the project is to reduce post-harvest waste of fresh fruit in Argentina and to make the fruit and vegetable sector more profitable and sustainable, while at the same time improving the quality of life of the sector's seasonal workers",Non-Sovereign Guaranteed,Technical Cooperation,10/24/24,10/31/24,AGRICULTURE AND RURAL DEVELOPMENT,SUSTAINABLE AGRICULTURAL DEVELOPMENT,Argentina,ACTIVE,,130000,ATN/ME-21199-AR,,USD,MSE-Multilateral Investment Fund II (MIF) -,130000,26500,"Tuesday, December 17, 2024",Not Defined,Yes,NAT 4 BIO SAU,,,,[],[],[],[],[],[],[],[]
AR-T1387,Support for the Agrobiotechnology Entrepreneurial Ecosystem in Santa Fe Province,The proposed project will contribute to the development and scaling of the agrobiotechnology entrepreneurial ecosystem in Santa Fe province by facilitating access to finance for startups in this sector.,Non-Sovereign Guaranteed,Technical Cooperation,10/31/24,11/1/24,AGRICULTURE AND RURAL DEVELOPMENT,AGRICULTURAL RESEARCH AND INNOVATION,Argentina,ACTIVE,,1800000,ATN/ME-21212-AR,,USD,MSE-Multilateral Investment Fund II (MIF) -,900000,52523,"Wednesday, December 11, 2024",Not Defined,No,BOLSA DE COMERCIO DE ROSARIO ASOCIACION CIVIL,,,,[],[],[],[],[],[],[],[]
PE-L1280,Improving SENASA's Agri-Food Safety Service,"The general objective of the project is to contribute to improving the percentage of agricultural foods and feed that comply with the safety standards established in the national regulations of Peru, through an adequate provision of the SENASA agri-food safety surveillance and control service. The specific objectives are: (i) Improve the risk management capacity in surveillance and sanitary control of primary agricultural foods and feed by SENASA; (ii) Increase coverage and access to risk communication in agri-food safety with a focus on Behavioral Economics; and (iii) Adopt the official standard of Good Agricultural Practices (GAP) and Good Hygiene Practices (GHP) developed by SENASA.",Sovereign Guaranteed,Loan Operation,10/31/24,6/10/25,AGRICULTURE AND RURAL DEVELOPMENT,SUSTAINABLE AGRICULTURAL DEVELOPMENT,Peru,ACTIVE,B,85758705,5941/OC-PE,ESP,USD,ORC-Ordinary Capital,68000000,0,"Thursday, October 31, 2024",REPUBLICA DEL PERU,Yes,SERVICIO NACIONAL DE SALUD AGROPECUARIA,,,,[],['feed'],[],[],[],[],[],['feed']
ME-L1336,Prolade,"The transaction consists in providing corporate financing to Prolade, a Mexican sustainable palm oil producer, for land acquisition, expansion of its extraction mill, purchase of biological assets (seeds), and encourage the production of biochar and cogeneration of biogas from on-site agricultural waste.",Non-Sovereign Guaranteed,Loan Operation,11/5/24,12/2/24,AGRICULTURE AND RURAL DEVELOPMENT,AGRICULTURE AND RURAL DEVELOPMENT,Mexico,ACTIVE,,10000000,5944/FB-ME,PSL,USD,FBF-Finland-LAC Blended Finance Climate Fund,5000000,2000000,"Tuesday, February 18, 2025",PROLADE SAPI DE CV,No,INTER AMERICAN INVESTMENT CORPORATION,1,2034-08-15,118.1,[],[],[],[],[],[],[],[]
ME-L1336,Prolade,"The transaction consists in providing corporate financing to Prolade, a Mexican sustainable palm oil producer, for land acquisition, expansion of its extraction mill, purchase of biological assets (seeds), and encourage the production of biochar and cogeneration of biogas from on-site agricultural waste.",Non-Sovereign Guaranteed,Loan Operation,11/5/24,12/2/24,AGRICULTURE AND RURAL DEVELOPMENT,AGRICULTURE AND RURAL DEVELOPMENT,Mexico,ACTIVE,,10000000,5945/CA-ME,PSL,USD,CPS-Canadian Climate Fund for the Private Se,5000000,2000000,"Tuesday, February 18, 2025",PROLADE SAPI DE CV,Yes,INTER-AMERICAN INVESTMENT CORPORATION,1,2034-08-15,118.1,[],[],[],[],[],[],[],[]
BR-L1623,Sustainable Rural Development Project of the State of Paraiba (PROCASE II),"Contribute to the sustainable rural development of family farming in Paraíba territories, reducing rural poverty and strengthening the adaptation and mitigation of climate change.",Sovereign Guaranteed,Loan Operation,11/8/24,1/1/01,AGRICULTURE AND RURAL DEVELOPMENT,SUSTAINABLE AGRICULTURAL DEVELOPMENT,Brazil,ACTIVE,B,105000000,5946/OC-BR,ESP,USD,ORC-Ordinary Capital,70000000,0,"Friday, November 08, 2024",GOVERNO DO ESTADO DA PARAIBA,No,SECRETARIA DE AGRICULTURA FAMILIAR E DESENVOLVIMENTO DO SEMIARIDO,,,,[],['farming'],[],[],[],[],[],['farming']
RG-T4458,Multifunctional landscapes in extensive agroecosystems,Develop landscape-scale management tools for decision making towards diversification of extensive agricultural systems with resilient production and contributions to food security in the pampas biome.,Sovereign Guaranteed,Technical Cooperation,11/11/24,11/26/24,AGRICULTURE AND RURAL DEVELOPMENT,SUSTAINABLE AGRICULTURAL DEVELOPMENT,Argentina; Headquarters; Regional; Uruguay,ACTIVE,C,600693,ATN/RF-21247-RG,,USD,RFA-Regional Agricultural Fund,200000,50367,"Monday, March 10, 2025",Not Defined,No,CENTRO DE ESTUDIOS URUGUAYO DE TECNOLOGIA APROPIADA,,,,[],[],[],[],[],[],[],[]
EC-T1577,"Kara Solar, Deploying Solar Canoes in the Amazon Region","The objective of this project is to accelerate the deployment of solar powered river transportation in the Ecuadorian Amazon by developing new circular business models to drive commercialization, local assembly and manufacturing capacity to bring to market equipment built for Amazon conditions, and local indigenous technical services teams capable to install, maintain and guarantee the infrastructure.",Non-Sovereign Guaranteed,Technical Cooperation,11/14/24,1/16/25,AGRICULTURE AND RURAL DEVELOPMENT,AGRICULTURAL RESEARCH AND INNOVATION,Ecuador,ACTIVE,,600000,ATN/ME-21259-EC,,USD,MSE-Multilateral Investment Fund II (MIF) -,300000,97809.09,"Monday, July 21, 2025",Not Defined,Yes,FUNDACION KARA SOLAR,,,,[],['commercialization'],[],[],[],[],[],['commercialization']
